item_id,origin,destination,departure_date,duration,currencyCode,totalPrice
1,JFK,LAX,2025-10-16,07:48:00,RUB,36925.00
2,JFK,LAX,2025-10-16,07:48:00,RUB,36925.00
3,JFK,LAX,2025-10-16,07:48:00,RUB,87330.00
4,JFK,LAX,2025-10-16,07:48:00,RUB,87330.00
5,EWR,ATL,2025-10-18,02:37:00,RUB,7616.00
6,EWR,ATL,2025-10-18,02:40:00,RUB,7616.00
7,ATL,LAX,2025-10-20,02:40:00,RUB,22427.00
8,ATL,LAX,2025-10-20,02:40:00,RUB,22427.00
9,ATL,LAX,2025-10-20,02:40:00,RUB,22427.00
10,ATL,LAX,2025-10-20,02:40:00,RUB,22427.00
